# RE-AUDIT Task 4.3: long-horizon for 19 'other' points
# mpmath dps=70, T=100000
  beta    etaL    kappa   classification          final  period       residual
 0.900  3.0380   0.4489   quasi_periodic   1.053079e+00       -     4.5701e-02
 0.900  3.1277   0.4406         period_4   9.791197e-01       4     1.1056e-70
 0.900  3.2173   0.4302         period_4   9.852926e-01       4     1.4511e-70
 0.900  3.3070   0.4196         period_4   9.889299e-01       4     3.9619e-71
 0.900  3.3966   0.4092         period_4   9.912717e-01       4     7.8195e-71
 0.900  3.4863   0.3991         period_4   9.928134e-01       4     1.8120e-70
 0.900  3.5759   0.3894         period_4   9.939219e-01       4     2.1800e-70
 0.900  3.6655   0.3802         period_4   9.951289e-01       4     9.1570e-71
 0.900  3.7552   0.3713         period_4   9.958350e-01       4     2.1507e-71
 0.950  2.9983   0.4750       slow_decay   0.000000e+00       -              -
 0.950  3.0932   0.4659         period_4   1.199642e+00       4     3.9619e-72
 0.950  3.1881   0.4532         period_4   1.205953e+00       4     0.0000e+00
 0.950  3.2831   0.4405         period_4   1.208270e+00       4     7.4158e-71
 0.950  3.3780   0.4284         period_4   1.209860e+00       4     1.4820e-70
 0.950  3.4729   0.4168         period_4   1.210493e+00       4     1.4692e-70
 0.950  3.5678   0.4058         period_4   1.211022e+00       4     1.8417e-70
 0.950  3.6627   0.3954         period_4   1.211740e+00       4     1.0926e-70
 0.950  3.7576   0.3855         period_4   1.212295e+00       4     7.8628e-71
 0.950  3.8525   0.3760         period_4   1.212270e+00       4     2.8182e-70

Elapsed: 971.3s
Saved to C:\Users\12729\Desktop\Math\workspace\active\li_xiao_directions\reaudit_long_horizon_results.json
