C:\Users\12729\Desktop\Math\workspace\active\op2_v5_gaps\gap2_ub\resolution\theorem3_new\route_T\11_two_step_lmi_corrected.py:255: UserWarning: Solution may be inaccurate. Try another solver, adjusting the solver settings, or solve with verbose=True for more information.
  prob.solve(solver=cp.SCS, verbose=False, max_iters=50000)
β grid: 26 points
η grid: [0.5, 0.7, 0.9, 1.0, 1.1, 1.2, 1.3, 1.5, 1.7, 1.9]
    β    η*       W      a0      a1      a2     c01     c02     c12       S       C
-----------------------------------------------------------------------------------
 0.00  1.50  1.0000   0.370   0.040   0.013  -0.064  -0.009  -0.016  0.3334  0.3334
 0.02  1.50  1.0000   0.374   0.052   0.011  -0.087   0.007  -0.027  0.3306  0.3306
 0.04  1.50  1.0000   0.377   0.067   0.013  -0.115   0.025  -0.046  0.3210  0.3210
 0.06  1.50  1.0000   0.373   0.068   0.014  -0.128   0.031  -0.050  0.3089  0.3089
 0.08  1.30  1.0000   0.506   0.132   0.022  -0.260   0.020  -0.063  0.3563  0.3563
 0.10  1.30  1.0000   0.507   0.134   0.021  -0.275   0.027  -0.066  0.3485  0.3485
 0.12  1.30  1.0000   0.501   0.139   0.018  -0.289   0.036  -0.069  0.3367  0.3367
 0.14  1.50  1.0007   0.379   0.113   0.037  -0.239   0.098  -0.123  0.2653  0.2657
 0.16  1.20  1.0000   0.575   0.169   0.016  -0.385   0.033  -0.062  0.3470  0.3470
 0.18  1.10  1.0000   0.680   0.207   0.018  -0.497   0.029  -0.062  0.3736  0.3736
 0.20  1.10  1.0000   0.668   0.220   0.018  -0.514   0.037  -0.070  0.3593  0.3593
 0.22  1.00  1.0000   0.798   0.270   0.020  -0.659   0.036  -0.074  0.3902  0.3901
 0.24  1.30  1.0009   0.547   0.347   0.102  -0.623   0.228  -0.331  0.2681  0.2685
 0.26  1.90  1.1962   0.167   0.005   0.021  -0.090   0.149  -0.049  0.2044  0.3025
 0.28  1.70  1.0017   0.255   0.065   0.033  -0.215   0.160  -0.108  0.1897  0.1906
 0.30  1.90  1.0629   0.164   0.008   0.026  -0.106   0.164  -0.058  0.1982  0.2297
 0.32  1.90  1.0079   0.163   0.010   0.029  -0.114   0.172  -0.064  0.1953  0.1992
 0.34  1.20  1.0013   0.643   0.524   0.158  -0.932   0.348  -0.507  0.2342  0.2348
 0.36  1.10  1.0030   0.716   0.543   0.098  -0.982   0.285  -0.414  0.2467  0.2482
 0.38  1.10  1.0033   0.698   0.545   0.105  -0.990   0.299  -0.427  0.2309  0.2326
 0.40  1.70  1.0002   0.253   0.113   0.068  -0.334   0.260  -0.193  0.1667  0.1668
 0.42  1.10  1.0036   0.645   0.460   0.064  -0.901   0.238  -0.310  0.1961  0.1979
 0.44  1.30  1.0016   0.547   0.477   0.177  -0.923   0.433  -0.540  0.1705  0.1713
 0.46  0.90  1.0017   0.963   0.882   0.168  -1.542   0.362  -0.613  0.2198  0.2206
 0.48  0.90  1.0044   0.993   0.937   0.162  -1.638   0.434  -0.668  0.2204  0.2226
 0.50  1.50  1.0816   0.389   0.341   0.158  -0.722   0.430  -0.449  0.1463  0.1871

Written: C:\Users\12729\Desktop\Math\workspace\active\op2_v5_gaps\gap2_ub\resolution\theorem3_new\route_T\13_dense_lmi_sweep_results.json
