function,beta,etaL,init,T,iterate_type,kappa_exp,R2,f_at_k10,f_at_k100,f_at_k1000,f_at_k10000
f1_quad2d,0.5,0.5,zero_mom,100,last,3.2091,0.6663,1.8016206530175934e-11,0.06699723032332035,0.41006524018933793,0.4901959394460412
f1_quad2d,0.5,0.5,zero_mom,100,cesaro,0.7172,0.8434,0.005391582952589187,0.20651021016642937,0.5026427492633142,0.9852734962618906
f1_quad2d,0.5,0.5,zero_mom,100,pr,1.1024,0.7233,0.00015262405110888928,0.14020210975605849,0.43863080904818974,0.49347807218792744
f1_quad2d,0.5,0.5,zero_mom,100,suffix,3.0466,0.6666,6.10340695538141e-11,0.07347111774976933,0.41378151104991046,0.490637421125387
f1_quad2d,0.5,0.5,zero_mom,100,best,3.2091,0.6663,1.8016206530175934e-11,0.06699723032332035,0.41006524018933793,0.4901959394460412
f1_quad2d,0.5,0.5,zero_mom,1000,last,32.5311,0.6660,6.645679320475857e-107,7.726464204602613e-10,0.0676000309565996,0.40943500788474807
f1_quad2d,0.5,0.5,zero_mom,1000,cesaro,1.3363,0.9291,5.489016478027467e-05,0.005039530747374345,0.20046901048978252,0.45787035695489053
f1_quad2d,0.5,0.5,zero_mom,1000,pr,2.5159,0.9061,1.6103171436847763e-08,0.00019468164073348766,0.13969669481454258,0.4379105661422134
f1_quad2d,0.5,0.5,zero_mom,1000,suffix,31.9019,0.6663,7.588424396929354e-105,1.0564808971874947e-09,0.06966749210982033,0.4106656706935206
f1_quad2d,0.5,0.5,zero_mom,1000,best,32.5311,0.6660,6.645679320475857e-107,7.726464204602613e-10,0.0676000309565996,0.40943500788474807
f1_quad2d,0.5,0.5,zero_mom,10000,last,,,0.0,3.215290916210168e-89,1.0020427979648402e-09,0.06766087541862835
f1_quad2d,0.5,0.5,zero_mom,10000,cesaro,1.8677,0.9976,5.498900164978003e-07,5.0489901514798025e-05,0.005003552475542071,0.1998563690908777
f1_quad2d,0.5,0.5,zero_mom,10000,pr,3.6815,0.9935,1.6190283724833925e-12,1.959024330704905e-08,0.00019928426793172331,0.13965167604411116
f1_quad2d,0.5,0.5,zero_mom,10000,suffix,,,0.0,9.567827609929832e-89,1.1074115264113985e-09,0.06833471584799852
f1_quad2d,0.5,0.5,zero_mom,10000,best,,,0.0,3.215290916210168e-89,1.0020427979648402e-09,0.06766087541862835
f1_quad2d,0.5,1.0,zero_mom,100,last,8.9724,0.6479,2.0303952468623536e-30,0.008424003733911438,0.3361096488929828,0.4805813187235931
f1_quad2d,0.5,1.0,zero_mom,100,cesaro,0.8622,0.8343,0.0013479070679345152,0.09515059277718542,0.42439737617932055,0.612842408630886
f1_quad2d,0.5,1.0,zero_mom,100,pr,1.5378,0.7698,7.549617546974962e-06,0.04334042118569713,0.385097234200167,0.48705671664742545
f1_quad2d,0.5,1.0,zero_mom,100,suffix,8.4826,0.6483,8.24197192605336e-29,0.010179077255104635,0.3422443502441138,0.4814475632112764
f1_quad2d,0.5,1.0,zero_mom,100,best,8.9724,0.6479,2.0303952468623536e-30,0.008424003733911438,0.3361096488929828,0.4805813187235931
f1_quad2d,0.5,1.0,zero_mom,1000,last,91.5291,0.6474,6.5616505758923664e-301,6.20344840228017e-19,0.00908454470336583,0.3352539785031682
f1_quad2d,0.5,1.0,zero_mom,1000,cesaro,1.5304,0.9591,1.3722541195068667e-05,0.0012599787797907408,0.09362749121602157,0.41212225666573965
f1_quad2d,0.5,1.0,zero_mom,1000,pr,2.9616,0.9396,7.96460871220634e-10,1.1933257131970151e-05,0.044024640544703286,0.3839497076523064
f1_quad2d,0.5,1.0,zero_mom,1000,suffix,89.7586,0.6476,4.320450779072109e-295,1.1919602641670881e-18,0.009651154608212462,0.33727323639373913
f1_quad2d,0.5,1.0,zero_mom,1000,best,91.5321,0.6474,6.4118066722365135e-301,6.20344840228017e-19,0.00908454470336583,0.3352539785031682
f1_quad2d,0.5,1.0,zero_mom,10000,last,,,0.0,2.909239064264471e-180,1.890275162299918e-18,0.009150493066731814
