function,beta,etaL,kappa,init,T,iterate_type,fvalue
f1_quad2d,0.5,0.5,10,zero_mom,100,last,1.80162065301759330112563309564e-11
f1_quad2d,0.5,0.5,10,zero_mom,100,cesaro,0.00539158295258918702780651834858
f1_quad2d,0.5,0.5,10,zero_mom,100,pr,0.000152624051108889287705264022404
f1_quad2d,0.5,0.5,10,zero_mom,100,suffix,6.10340695538141013764112571357e-11
f1_quad2d,0.5,0.5,10,zero_mom,100,best,1.80162065301759330112563309564e-11
f1_quad2d,0.5,0.5,10,zero_mom,1000,last,6.64567932047585665588690726131e-107
f1_quad2d,0.5,0.5,10,zero_mom,1000,cesaro,0.0000548901647802746703845604944506
f1_quad2d,0.5,0.5,10,zero_mom,1000,pr,0.0000000161031714368477644643552671485
f1_quad2d,0.5,0.5,10,zero_mom,1000,suffix,7.58842439692935502250145264172e-105
f1_quad2d,0.5,0.5,10,zero_mom,1000,best,6.64567932047585665588690726131e-107
f1_quad2d,0.5,0.5,10,zero_mom,10000,last,3.09955733406845025330732304282e-1061
f1_quad2d,0.5,0.5,10,zero_mom,10000,cesaro,0.00000054989001649780027496700384956
f1_quad2d,0.5,0.5,10,zero_mom,10000,pr,1.61902837248339255354569092051e-12
f1_quad2d,0.5,0.5,10,zero_mom,10000,suffix,7.38130967023856465613876504621e-1053
f1_quad2d,0.5,0.5,10,zero_mom,10000,best,3.09955733406845025330732304282e-1061
f1_quad2d,0.5,0.5,100,zero_mom,100,last,0.0669972303233203466366226964312
f1_quad2d,0.5,0.5,100,zero_mom,100,cesaro,0.206510210166429360146141630043
f1_quad2d,0.5,0.5,100,zero_mom,100,pr,0.14020210975605848676805710463
f1_quad2d,0.5,0.5,100,zero_mom,100,suffix,0.0734711177497693334759852243576
f1_quad2d,0.5,0.5,100,zero_mom,100,best,0.0669972303233203466366226964312
f1_quad2d,0.5,0.5,100,zero_mom,1000,last,7.72646420460261320415194898512e-10
f1_quad2d,0.5,0.5,100,zero_mom,1000,cesaro,0.00503953074737434503068345077372
f1_quad2d,0.5,0.5,100,zero_mom,1000,pr,0.000194681640733487650328899382746
f1_quad2d,0.5,0.5,100,zero_mom,1000,suffix,0.0000000010564808971874947064729694982
f1_quad2d,0.5,0.5,100,zero_mom,1000,best,7.72646420460261320415194898512e-10
f1_quad2d,0.5,0.5,100,zero_mom,10000,last,3.2152909162101680680379563397e-89
f1_quad2d,0.5,0.5,100,zero_mom,10000,cesaro,0.0000504899015147980252469703534596
f1_quad2d,0.5,0.5,100,zero_mom,10000,pr,0.0000000195902433070490498979028601382
f1_quad2d,0.5,0.5,100,zero_mom,10000,suffix,9.56782760992983270875253309845e-89
f1_quad2d,0.5,0.5,100,zero_mom,10000,best,3.2152909162101680680379563397e-89
f1_quad2d,0.5,0.5,1000,zero_mom,100,last,0.410065240189337957667460347072
f1_quad2d,0.5,0.5,1000,zero_mom,100,cesaro,0.502642749263314177686140250487
f1_quad2d,0.5,0.5,1000,zero_mom,100,pr,0.438630809048189728392418224187
f1_quad2d,0.5,0.5,1000,zero_mom,100,suffix,0.413781511049910447812182457784
f1_quad2d,0.5,0.5,1000,zero_mom,100,best,0.410065240189337957667460347072
f1_quad2d,0.5,0.5,1000,zero_mom,1000,last,0.0676000309565995920861155975958
f1_quad2d,0.5,0.5,1000,zero_mom,1000,cesaro,0.200469010489782536452174071032
f1_quad2d,0.5,0.5,1000,zero_mom,1000,pr,0.13969669481454258176179759767
f1_quad2d,0.5,0.5,1000,zero_mom,1000,suffix,0.0696674921098203371125868144007
f1_quad2d,0.5,0.5,1000,zero_mom,1000,best,0.0676000309565995920861155975958
f1_quad2d,0.5,0.5,1000,zero_mom,10000,last,0.00000000100204279796484023952348603938
f1_quad2d,0.5,0.5,1000,zero_mom,10000,cesaro,0.00500355247554207101380844815362
f1_quad2d,0.5,0.5,1000,zero_mom,10000,pr,0.000199284267931723313406218147958
