function,beta,etaL,kappa,init,T,iterate_type,fvalue
f1_quad2d,0.5,1.0,10,zero_mom,100,last,2.03039524686235355490985647997e-30
f1_quad2d,0.5,1.0,10,zero_mom,100,cesaro,0.00134790706793451525976414267265
f1_quad2d,0.5,1.0,10,zero_mom,100,pr,0.0000075496175469749612535805451782
f1_quad2d,0.5,1.0,10,zero_mom,100,suffix,8.24197192605335998042371556142e-29
f1_quad2d,0.5,1.0,10,zero_mom,100,best,2.03039524686235355490985647997e-30
f1_quad2d,0.5,1.0,10,zero_mom,1000,last,6.56165057589236681067466637581e-301
f1_quad2d,0.5,1.0,10,zero_mom,1000,cesaro,0.0000137225411950686675961401236127
f1_quad2d,0.5,1.0,10,zero_mom,1000,pr,7.96460871220634029448435666836e-10
f1_quad2d,0.5,1.0,10,zero_mom,1000,suffix,4.32045077907210913167195446505e-295
f1_quad2d,0.5,1.0,10,zero_mom,1000,best,6.41180667223651321038256854146e-301
f1_quad2d,0.5,1.0,100,zero_mom,100,last,0.00842400373391143854415018515415
f1_quad2d,0.5,1.0,100,zero_mom,100,cesaro,0.0951505927771854219318440064656
f1_quad2d,0.5,1.0,100,zero_mom,100,pr,0.0433404211856971271046570674639
f1_quad2d,0.5,1.0,100,zero_mom,100,suffix,0.0101790772551046343933908115063
f1_quad2d,0.5,1.0,100,zero_mom,100,best,0.00842400373391143854415018515415
f1_quad2d,0.5,1.0,100,zero_mom,1000,last,6.20344840228016978073885773887e-19
f1_quad2d,0.5,1.0,100,zero_mom,1000,cesaro,0.00125997877979074078648310169797
f1_quad2d,0.5,1.0,100,zero_mom,1000,pr,0.0000119332571319701511976428477508
f1_quad2d,0.5,1.0,100,zero_mom,1000,suffix,1.19196026416708804131026388017e-18
f1_quad2d,0.5,1.0,100,zero_mom,1000,best,6.20344840228016978073885773887e-19
f1_quad2d,0.5,1.0,1000,zero_mom,100,last,0.336109648892982769083720940859
f1_quad2d,0.5,1.0,1000,zero_mom,100,cesaro,0.424397376179320544748443529819
f1_quad2d,0.5,1.0,1000,zero_mom,100,pr,0.385097234200167029401121043969
f1_quad2d,0.5,1.0,1000,zero_mom,100,suffix,0.342244350244113801825242353457
f1_quad2d,0.5,1.0,1000,zero_mom,100,best,0.336109648892982769083720940859
f1_quad2d,0.5,1.0,1000,zero_mom,1000,last,0.00908454470336583154841422007677
f1_quad2d,0.5,1.0,1000,zero_mom,1000,cesaro,0.0936274912160215722642054736431
f1_quad2d,0.5,1.0,1000,zero_mom,1000,pr,0.0440246405447032834607308697352
f1_quad2d,0.5,1.0,1000,zero_mom,1000,suffix,0.00965115460821246176664479773919
f1_quad2d,0.5,1.0,1000,zero_mom,1000,best,0.00908454470336583154841422007677
f1_quad2d,0.5,1.0,10000,zero_mom,100,last,0.480581318723593105963896245335
f1_quad2d,0.5,1.0,10000,zero_mom,100,cesaro,0.612842408630886011354483466641
f1_quad2d,0.5,1.0,10000,zero_mom,100,pr,0.487056716647425473601531999398
f1_quad2d,0.5,1.0,10000,zero_mom,100,suffix,0.481447563211276422278997531254
f1_quad2d,0.5,1.0,10000,zero_mom,100,best,0.480581318723593105963896245335
f1_quad2d,0.5,1.0,10000,zero_mom,1000,last,0.335253978503168162427529933315
f1_quad2d,0.5,1.0,10000,zero_mom,1000,cesaro,0.412122256665739651141076795047
f1_quad2d,0.5,1.0,10000,zero_mom,1000,pr,0.383949707652306379422667299191
f1_quad2d,0.5,1.0,10000,zero_mom,1000,suffix,0.337273236393739112043293068358
f1_quad2d,0.5,1.0,10000,zero_mom,1000,best,0.335253978503168162427529933315
f1_quad2d,0.5,2.0,10,zero_mom,100,last,5.35811569208746220101909544045e-30
f1_quad2d,0.5,2.0,10,zero_mom,100,cesaro,0.000336976766983629460510833111449
f1_quad2d,0.5,2.0,10,zero_mom,100,pr,0.000000271627230385536089866530896645
f1_quad2d,0.5,2.0,10,zero_mom,100,suffix,1.08783612251388953997793156063e-29
