function,beta,etaL,init,T,A,B,exp_diff,R2,ratio_k10,ratio_k100,ratio_k1000,ratio_k10000
f1_quad2d,0.5,0.5,zero_mom,100,last,cesaro,2.4919,0.6173,3.341543e-09,3.244258e-01,8.158185e-01,4.975227e-01
f1_quad2d,0.5,0.5,zero_mom,100,last,pr,2.1067,0.6368,1.180430e-07,4.778618e-01,9.348756e-01,9.933490e-01
f1_quad2d,0.5,0.5,zero_mom,100,last,suffix,0.1625,0.6600,2.951828e-01,9.118853e-01,9.910188e-01,9.991002e-01
f1_quad2d,0.5,0.5,zero_mom,100,last,best,0.0000,1.0000,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00
f1_quad2d,0.5,0.5,zero_mom,100,cesaro,pr,-0.3852,0.5148,3.532591e+01,1.472947e+00,1.145936e+00,1.996590e+00
f1_quad2d,0.5,0.5,zero_mom,100,cesaro,suffix,-2.3294,0.6144,8.833727e+07,2.810767e+00,1.214754e+00,2.008150e+00
f1_quad2d,0.5,0.5,zero_mom,100,cesaro,best,-2.4919,0.6173,2.992629e+08,3.082369e+00,1.225763e+00,2.009959e+00
f1_quad2d,0.5,0.5,zero_mom,100,pr,suffix,-1.9442,0.6348,2.500637e+06,1.908262e+00,1.060054e+00,1.005790e+00
f1_quad2d,0.5,0.5,zero_mom,100,pr,best,-2.1067,0.6368,8.471487e+06,2.092655e+00,1.069661e+00,1.006696e+00
f1_quad2d,0.5,0.5,zero_mom,100,suffix,best,-0.1625,0.6600,3.387731e+00,1.096629e+00,1.009063e+00,1.000901e+00
f1_quad2d,0.5,0.5,zero_mom,1000,cesaro,pr,-1.1796,0.8759,3.408656e+03,2.588601e+01,1.435030e+00,1.045580e+00
f1_quad2d,0.5,0.5,zero_mom,10000,cesaro,pr,-1.8137,0.9872,3.396420e+05,2.577298e+03,2.510761e+01,1.431106e+00
f1_quad2d,0.5,1.0,zero_mom,100,last,cesaro,8.1101,0.6283,1.506332e-27,8.853338e-02,7.919692e-01,7.841842e-01
f1_quad2d,0.5,1.0,zero_mom,100,last,pr,7.4346,0.6230,2.689401e-25,1.943683e-01,8.727916e-01,9.867050e-01
f1_quad2d,0.5,1.0,zero_mom,100,last,suffix,0.4897,0.6406,2.463482e-02,8.275803e-01,9.820751e-01,9.982008e-01
f1_quad2d,0.5,1.0,zero_mom,100,last,best,0.0000,1.0000,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00
f1_quad2d,0.5,1.0,zero_mom,100,cesaro,pr,-0.6755,0.6855,1.785398e+02,2.195424e+00,1.102053e+00,1.258257e+00
f1_quad2d,0.5,1.0,zero_mom,100,cesaro,suffix,-7.6204,0.6275,1.635418e+25,9.347664e+00,1.240042e+00,1.272916e+00
f1_quad2d,0.5,1.0,zero_mom,100,cesaro,best,-8.1101,0.6283,6.638644e+26,1.129517e+01,1.262675e+00,1.275211e+00
f1_quad2d,0.5,1.0,zero_mom,100,pr,suffix,-6.9449,0.6218,9.159965e+22,4.257795e+00,1.125211e+00,1.011651e+00
