function,beta,etaL,init,T,A,B,exp_diff,R2,ratio_k10,ratio_k100,ratio_k1000,ratio_k10000
f1_quad2d,0.5,1.0,zero_mom,10000,cesaro,pr,-1.9745,0.9963,1.716755e+06,1.052065e+04,1.005418e+02,2.119772e+00
f1_quad2d,0.5,1.5,zero_mom,10000,cesaro,pr,-2.0625,0.9975,5.012126e+06,2.416197e+04,2.266731e+02,3.169466e+00
f1_quad2d,0.5,2.0,zero_mom,10000,cesaro,pr,-2.1256,0.9971,1.192889e+07,4.385391e+04,4.037840e+02,4.675522e+00
f1_quad2d,0.5,2.5,zero_mom,10000,cesaro,pr,-2.1803,0.9959,2.585620e+07,6.997134e+04,6.321813e+02,6.704899e+00
f1_quad2d,0.5,2.9,zero_mom,10000,cesaro,pr,-2.2228,0.9945,4.640343e+07,9.575864e+04,8.520327e+02,8.727202e+00
f1_quad2d,0.7,0.5,zero_mom,10000,cesaro,pr,-2.0134,0.9913,2.001544e+06,7.595939e+03,7.008587e+01,1.855527e+00
f1_quad2d,0.7,1.5,zero_mom,10000,cesaro,pr,-2.2680,0.9932,4.858693e+07,8.092124e+04,6.407386e+02,6.712585e+00
f1_quad2d,0.7,2.0,zero_mom,10000,cesaro,pr,-2.1086,0.9997,2.349081e+07,1.573915e+05,1.148108e+03,1.134099e+01
f1_quad2d,0.7,2.5,zero_mom,10000,cesaro,pr,-2.0016,0.9984,1.550502e+07,2.701805e+05,1.808176e+03,1.750633e+01
f1_quad2d,0.7,2.9,zero_mom,10000,cesaro,pr,-1.9393,0.9944,1.259516e+07,3.932527e+05,2.448595e+03,2.350666e+01
f1_quad2d,0.95,1.5,zero_mom,100,last,pr,-0.7244,0.9903,1.080440e+04,1.928453e+03,2.614623e+02,8.092574e+01
f1_quad2d,0.99,0.5,zero_mom,1000,last,cesaro,-1.0139,0.9991,7.785516e+03,6.109643e+02,6.664844e+01,6.797806e+00
f1_quad2d,0.99,1.0,zero_mom,1000,last,cesaro,-1.0371,0.9999,4.572550e+03,4.041746e+02,3.688753e+01,3.545753e+00
f1_quad2d,0.99,1.5,zero_mom,100,last,suffix,0.6006,0.9925,2.521899e+01,1.348305e+02,5.167813e+02,1.618427e+03
f1_quad2d,0.99,1.5,zero_mom,1000,last,cesaro,-0.9413,0.9966,9.766628e+04,1.627607e+04,1.508010e+03,1.572432e+02
f1_quad2d,0.99,1.5,zero_mom,1000,last,best,0.7287,0.9984,1.133199e+02,7.429825e+02,3.402296e+03,1.832881e+04
f1_quad2d,0.99,1.5,zero_mom,1000,cesaro,best,1.6700,0.9997,1.160277e-03,4.564876e-02,2.256149e+00,1.165635e+02
f1_quad2d,0.99,1.5,zero_mom,1000,pr,best,1.1714,0.9998,2.402831e-04,3.863087e-03,5.780068e-02,7.831078e-01
f1_quad2d,0.99,1.5,zero_mom,1000,suffix,best,0.7498,0.9908,1.273406e-01,8.402259e-01,6.037952e+00,2.084058e+01
