fn,alg,d,T,f_gap,alpha_emp,alpha_theory,deviation,flag
Q-SC,SGD,2,10000,1e-300,0.0,,,n/a
Q-SC,SHB_0.5,2,10000,1e-300,0.0,,,n/a
Q-SC,SHB_0.9,2,10000,1e-300,-252.353,,,n/a
Q-SC,NAG_0.5,2,10000,1e-300,0.0,,,n/a
Q-SC,NAG_0.9,2,10000,1e-300,0.0,,,n/a
Q-SC,Adam,2,10000,2.07298715558058e-05,42.119,,,n/a
Q-SC,AdaGrad,2,10000,1e-300,0.0,,,n/a
Huber,SGD,2,10000,1e-300,0.0,-1.0,1.0,YES
Huber,SHB_0.5,2,10000,1e-300,0.0,-1.0,1.0,YES
Huber,SHB_0.9,2,10000,1e-300,-252.965,-1.0,-251.965,YES
Huber,NAG_0.5,2,10000,1e-300,0.0,-1.0,1.0,YES
Huber,NAG_0.9,2,10000,1e-300,0.0,-2.0,2.0,YES
Huber,Adam,2,10000,1.0418863790431235e-09,36.426,-0.5,36.926,YES
Huber,AdaGrad,2,10000,1e-300,0.0,-1.0,1.0,YES
Quartic,SGD,2,10000,1.0885428148081906e-10,-1.995,-0.5,-1.495,YES
Quartic,SHB_0.5,2,10000,2.7047473902733165e-11,-1.974,-0.5,-1.474,YES
Quartic,SHB_0.9,2,10000,1.031864799639933e-12,-1.83,-0.5,-1.33,YES
Quartic,NAG_0.5,2,10000,2.716472908268121e-11,-1.989,-0.5,-1.489,YES
Quartic,NAG_0.9,2,10000,1.0514223195507156e-12,-1.89,-0.5,-1.39,YES
Quartic,Adam,2,10000,1.2239731715445267e-13,-4.678,-0.5,-4.178,YES
Quartic,AdaGrad,2,10000,4.460315933004414e-08,-1.968,-0.5,-1.468,YES
Q-SC,SGD,10,10000,1e-300,-207.415,,,n/a
Q-SC,SHB_0.5,10,10000,1e-300,0.0,,,n/a
Q-SC,SHB_0.9,10,10000,1e-300,-254.614,,,n/a
Q-SC,NAG_0.5,10,10000,1e-300,-49.654,,,n/a
Q-SC,NAG_0.9,10,10000,1e-300,-207.421,,,n/a
Q-SC,Adam,10,10000,0.00026267306097345117,41.793,,,n/a
Q-SC,AdaGrad,10,10000,1e-300,0.0,,,n/a
Huber,SGD,10,10000,1e-300,0.0,-1.0,1.0,YES
Huber,SHB_0.5,10,10000,1e-300,0.0,-1.0,1.0,YES
Huber,SHB_0.9,10,10000,1e-300,-254.033,-1.0,-253.033,YES
Huber,NAG_0.5,10,10000,1e-300,0.0,-1.0,1.0,YES
Huber,NAG_0.9,10,10000,1e-300,0.0,-2.0,2.0,YES
Huber,Adam,10,10000,0.003001450472923022,42.579,-0.5,43.079,YES
Huber,AdaGrad,10,10000,1e-300,0.0,-1.0,1.0,YES
Quartic,SGD,10,10000,6.443749474259851e-09,-1.995,-0.5,-1.495,YES
Quartic,SHB_0.5,10,10000,1.6011051046393537e-09,-1.974,-0.5,-1.474,YES
Quartic,SHB_0.9,10,10000,6.108237700654193e-11,-1.83,-0.5,-1.33,YES
Quartic,NAG_0.5,10,10000,1.60804615458127e-09,-1.989,-0.5,-1.489,YES
Quartic,NAG_0.9,10,10000,6.224010600834393e-11,-1.89,-0.5,-1.39,YES
Quartic,Adam,10,10000,1.6703243048376859e-15,-5.032,-0.5,-4.532,YES
Quartic,AdaGrad,10,10000,1.0176663549237425e-09,-1.976,-0.5,-1.476,YES
Q-SC,SGD,50,10000,1.420501477735301e-178,-157.931,,,n/a
Q-SC,SHB_0.5,50,10000,1e-300,-260.562,,,n/a
Q-SC,SHB_0.9,50,10000,1e-300,-255.172,,,n/a
Q-SC,NAG_0.5,50,10000,1e-300,-261.407,,,n/a
Q-SC,NAG_0.9,50,10000,1e-300,-243.05,,,n/a
Q-SC,Adam,50,10000,0.0018624264234372403,41.683,,,n/a
Q-SC,AdaGrad,50,10000,1e-300,0.0,,,n/a
Huber,SGD,50,10000,1e-300,0.0,-1.0,1.0,YES
Huber,SHB_0.5,50,10000,1e-300,0.0,-1.0,1.0,YES
Huber,SHB_0.9,50,10000,1e-300,-254.959,-1.0,-253.959,YES
Huber,NAG_0.5,50,10000,1e-300,0.0,-1.0,1.0,YES
Huber,NAG_0.9,50,10000,1e-300,0.0,-2.0,2.0,YES
Huber,Adam,50,10000,0.028975777095995827,42.857,-0.5,43.357,YES
Huber,AdaGrad,50,10000,1e-300,0.0,-1.0,1.0,YES
Quartic,SGD,50,10000,1.4679027045594668e-06,-1.995,-0.5,-1.495,YES
Quartic,SHB_0.5,50,10000,3.6473586112750645e-07,-1.974,-0.5,-1.474,YES
Quartic,SHB_0.9,50,10000,1.391472259543654e-08,-1.83,-0.5,-1.33,YES
Quartic,NAG_0.5,50,10000,3.6631705015771945e-07,-1.989,-0.5,-1.489,YES
Quartic,NAG_0.9,50,10000,1.4178456239906958e-08,-1.89,-0.5,-1.39,YES
Quartic,Adam,50,10000,2.3151014128094535e-09,-5.041,-0.5,-4.541,YES
Quartic,AdaGrad,50,10000,0.007468424236743821,-1.685,-0.5,-1.185,YES
