alg,d,T,f_gap,log10_f_gap
SGD,2,5000,1.7206203462016845e-08,-7.764314945906495
SHB_0.5,2,5000,7.421840919619171e-13,-12.129488358593001
Adam,2,5000,2.220446049250313e-16,-15.653559774527022
AdaGrad,2,5000,1.1102230246251565e-16,-15.954589770191003
SGD,10,5000,3.472178100594192e-11,-10.459398006386815
SHB_0.5,10,5000,1.3322676295501878e-15,-14.875408524143378
Adam,10,5000,0.005520981929620028,-2.2579836743195885
AdaGrad,10,5000,8.831690934130165e-11,-10.053956137525928
SGD,50,5000,7.47414929946899e-09,-8.126438231173573
SHB_0.5,50,5000,3.2507330161024584e-13,-12.48801869780465
Adam,50,5000,0.0019303909601635638,-2.7143547248540747
AdaGrad,50,5000,2.2938273502859374e-10,-9.639439273287342
SGD,200,5000,8.710614451956644e-10,-9.059951208519093
SHB_0.5,200,5000,1.4210854715202004e-14,-13.847379800543134
Adam,200,5000,0.16695370070680582,-0.7774039499026193
AdaGrad,200,5000,1.9184653865522705e-13,-12.71704603204813
SGD,500,5000,1.3420020650301012e-09,-8.872246815887975
SHB_0.5,500,5000,7.105427357601002e-14,-13.148409796207115
Adam,500,5000,0.32865519767295837,-0.48325949497395354
AdaGrad,500,5000,1.595878984517185e-11,-10.797000044281678
