m_setting,m_value,iter,f_gap
n/4,50,1,4.9596e-01
n/4,50,54,3.2877e-01
n/4,50,106,2.2064e-01
n/4,50,159,1.4794e-01
n/4,50,211,1.0128e-01
n/4,50,264,6.9183e-02
n/4,50,316,4.8262e-02
n/4,50,369,3.3654e-02
n/4,50,422,2.3260e-02
n/4,50,474,1.6348e-02
n/4,50,527,1.1580e-02
n/4,50,579,8.1898e-03
n/4,50,632,5.8002e-03
n/4,50,685,4.1973e-03
n/4,50,737,3.0496e-03
n/4,50,790,2.2155e-03
n/4,50,842,1.6270e-03
n/4,50,895,1.1882e-03
n/4,50,947,8.8098e-04
n/4,50,1000,6.4995e-04
n/2,100,1,4.9596e-01
n/2,100,54,3.2945e-01
n/2,100,106,2.2165e-01
n/2,100,159,1.4756e-01
n/2,100,211,1.0205e-01
n/2,100,264,6.9164e-02
n/2,100,316,4.9242e-02
n/2,100,369,3.4530e-02
n/2,100,422,2.3475e-02
n/2,100,474,1.6726e-02
n/2,100,527,1.1937e-02
n/2,100,579,8.4795e-03
n/2,100,632,5.9247e-03
n/2,100,685,4.3737e-03
n/2,100,737,3.1683e-03
n/2,100,790,2.2982e-03
n/2,100,842,1.6814e-03
n/2,100,895,1.2371e-03
n/2,100,947,9.2029e-04
n/2,100,1000,6.7809e-04
n,200,1,4.9596e-01
n,200,54,3.2945e-01
n,200,106,2.2268e-01
n,200,159,1.4530e-01
n,200,211,1.0453e-01
n,200,264,7.0714e-02
n,200,316,5.1457e-02
n,200,369,3.7091e-02
n,200,422,2.4310e-02
n,200,474,1.7361e-02
n,200,527,1.2153e-02
n,200,579,8.4941e-03
n,200,632,5.8028e-03
n,200,685,4.3025e-03
n,200,737,3.1869e-03
n,200,790,2.3130e-03
n,200,842,1.6865e-03
n,200,895,1.2522e-03
n,200,947,9.3878e-04
n,200,1000,6.9478e-04
2n,400,1,4.9596e-01
2n,400,54,3.2945e-01
2n,400,106,2.2268e-01
2n,400,159,1.4530e-01
2n,400,211,1.0688e-01
2n,400,264,7.1721e-02
2n,400,316,6.1255e-02
2n,400,369,5.1400e-02
2n,400,422,2.9837e-02
2n,400,474,2.1233e-02
2n,400,527,1.4896e-02
2n,400,579,1.0238e-02
2n,400,632,6.7529e-03
2n,400,685,5.9194e-03
2n,400,737,4.4562e-03
2n,400,790,3.3388e-03
2n,400,842,2.3237e-03
2n,400,895,1.7338e-03
2n,400,947,1.2826e-03
2n,400,1000,9.6977e-04
4n,800,1,4.9596e-01
4n,800,54,3.2945e-01
4n,800,106,2.2268e-01
4n,800,159,1.4530e-01
4n,800,211,1.0688e-01
4n,800,264,7.1721e-02
4n,800,316,6.1255e-02
4n,800,369,5.1400e-02
4n,800,422,3.4471e-02
4n,800,474,3.0271e-02
4n,800,527,2.0585e-02
4n,800,579,1.6906e-02
4n,800,632,1.0728e-02
4n,800,685,1.7045e-02
4n,800,737,1.0848e-02
4n,800,790,1.0046e-02
4n,800,842,7.0722e-03
4n,800,895,5.0856e-03
4n,800,947,3.4332e-03
4n,800,1000,2.6102e-03
